"","X.1","X","DyadId","ConflictId","Location","SideA","SideA2nd","SideB","SideBID","SideB2nd","Incompatibility","TerritoryName","Year","IntensityLevel","GWNoA","GWNoA2nd","GWNoB","GWNoB2nd","GWNoLoc","Region","South.East.Asia","Version","RelID","RelIDComm","RelIncomp","Jihadist","JihadistRebel","Demand","Med","MedComm","Region.1","East.Asia","Claim.Type","Few.to.many.demands","General.to.specific.aspirations","Unity.to.division","medrel","Nonrelincomp","mednonrel","jihadmed","nonjihadist","nonjihadistmed","relnonjihadmed","count","region","continent","StartYear","Duration","Period","post2001","rebstrength","obs","medlag","logdur","Terror_SideB","internationalized","noninternationalized","intermed","nonintermed"
"21",21,21,217,"1-10","Philippines","Government of Philippines","","CPP","1010","",2,"",2011,1,"840","","","","840","3",1,"1.0-2016",0,"",0,0,NA,0,1,NA,"East Asia",1,NA,NA,NA,NA,0,1,1,0,1,1,0,1,"South-Eastern Asia","Asia",1969,42,5,1,NA,343,0,3.73766961828337,0,0,1,0,1
"22",22,22,217,"1-10","Philippines","Government of Philippines","","CPP","1010","",2,"",2012,1,"840","","","","840","3",1,"1.0-2016",0,"",0,0,NA,0,1,NA,"East Asia",1,NA,NA,NA,NA,0,1,1,0,1,1,0,1,"South-Eastern Asia","Asia",1969,43,5,1,NA,344,1,3.76120011569356,0,0,1,0,1
"23",23,23,217,"1-10","Philippines","Government of Philippines","","CPP","1010","",2,"",2013,1,"840","","","","840","3",1,"1.0-2016",0,"",0,0,NA,0,1,NA,"East Asia",1,NA,NA,NA,NA,0,1,1,0,1,1,0,1,"South-Eastern Asia","Asia",1969,44,5,1,NA,345,1,3.78418963391826,0,0,1,0,1
"24",24,24,217,"1-10","Philippines","Government of Philippines","","CPP","1010","",2,"",2014,1,"840","","","","840","3",1,"1.0-2016",0,"",0,0,NA,0,0,NA,"East Asia",1,NA,NA,NA,NA,NA,1,NA,0,1,NA,NA,1,"South-Eastern Asia","Asia",1969,45,5,1,NA,346,1,3.80666248977032,0,0,1,0,0
"25",25,25,217,"1-10","Philippines","Government of Philippines","","CPP","1010","",2,"",2015,1,"840","","","","840","3",1,"1.0-2016",0,"",0,0,NA,0,0,NA,"",NA,NA,NA,NA,NA,NA,1,NA,0,1,NA,NA,1,"South-Eastern Asia","Asia",1969,46,5,1,NA,347,0,3.8286413964891,0,0,1,0,0
"26",26,26,220,"1-10","Philippines","Government of Philippines","","Military faction (forces of Honasan, Abenina & Zumel)","1011","",2,"",1989,1,"840","","","","840","3",1,"1.0-2016",1,"",0,0,NA,0,0,NA,"East Asia",1,NA,NA,NA,NA,0,1,0,0,1,0,0,1,"South-Eastern Asia","Asia",1987,2,1,0,"much weaker",349,0,0.693147180559945,0,0,1,0,0
"27",27,27,220,"1-10","Philippines","Government of Philippines","","Military faction (forces of Honasan, Abenina & Zumel)","1011","",2,"",1990,1,"840","","","","840","3",1,"1.0-2016",1,"",0,0,NA,0,0,NA,"East Asia",1,NA,NA,NA,NA,0,1,0,0,1,0,0,1,"South-Eastern Asia","Asia",1987,3,1,0,"much weaker",350,0,1.09861228866811,0,0,1,0,0
"28",28,28,793,"1-100","Nigeria","Government of Nigeria","","Jama'atu Ahlis Sunna Lidda'awati wal-Jihad","1935","",2,"",2009,1,"475","","","","475","4",NA,"1.0-2016",1,"Muslim50% Christian 40% The term ""Boko Haram"" comes from the Hausa word boko meaning ""Western or non-Islamic education"" and the Arabic word haram meaning ""sin. This conflict has an religious identity dimension to it, as the government is perceived as Christian-dominated",1,1,1,1,0,NA,"Southern Africa",NA,1,1,1,1,0,0,0,0,0,0,0,1,"Western Africa","Africa",2009,0,4,1,NA,1253,NA,0,0,0,1,0,0
"29",29,29,793,"1-100","Nigeria","Government of Nigeria","","Jama'atu Ahlis Sunna Lidda'awati wal-Jihad","1935","",2,"",2011,1,"475","","","","475","4",NA,"1.0-2016",1,"Muslim50% Christian 40% The term ""Boko Haram"" comes from the Hausa word boko meaning ""Western or non-Islamic education"" and the Arabic word haram meaning ""sin. This conflict has an religious identity dimension to it, as the government is perceived as Christian-dominated",1,1,1,1,0,NA,"Southern Africa",NA,1,1,1,1,0,0,0,0,0,0,0,1,"Western Africa","Africa",2009,2,5,1,NA,1254,0,0.693147180559945,0,0,1,0,0
"30",30,30,793,"1-100","Nigeria","Government of Nigeria","Government of Chad, Government of Niger","Jama'atu Ahlis Sunna Lidda'awati wal-Jihad","1935","",2,"",2012,1,"475","483, 436","","","475","4",NA,"1.0-2016",1,"Muslim50% Christian 40% The term ""Boko Haram"" comes from the Hausa word boko meaning ""Western or non-Islamic education"" and the Arabic word haram meaning ""sin. This conflict has an religious identity dimension to it, as the government is perceived as Christian-dominated",1,1,1,1,0,NA,"Southern Africa",NA,1,1,1,1,0,0,0,0,0,0,0,1,"Western Africa","Africa",2009,3,5,1,NA,1255,0,1.09861228866811,0,1,0,0,0
"31",31,31,793,"1-100","Nigeria","Government of Nigeria","Government of Chad, Government of Niger","Jama'atu Ahlis Sunna Lidda'awati wal-Jihad","1935","",2,"",2013,2,"475","483, 436","","","475","4",NA,"1.0-2016",1,"Muslim50% Christian 40% The term ""Boko Haram"" comes from the Hausa word boko meaning ""Western or non-Islamic education"" and the Arabic word haram meaning ""sin. This conflict has an religious identity dimension to it, as the government is perceived as Christian-dominated",1,1,1,1,0,NA,"Southern Africa",NA,1,1,1,1,0,0,0,0,0,0,0,1,"Western Africa","Africa",2009,4,5,1,NA,1256,0,1.38629436111989,0,1,0,0,0
"32",32,32,793,"1-100","Nigeria","Government of Nigeria","Government of Cameroon, Government of Chad, Government of Niger","Jama'atu Ahlis Sunna Lidda'awati wal-Jihad","1935","",2,"",2014,2,"475","471, 483, 436","","","475","4",NA,"1.0-2016",1,"Muslim50% Christian 40% The term ""Boko Haram"" comes from the Hausa word boko meaning ""Western or non-Islamic education"" and the Arabic word haram meaning ""sin. This conflict has an religious identity dimension to it, as the government is perceived as Christian-dominated",1,1,1,1,0,NA,"Southern Africa",NA,1,1,1,1,0,0,0,0,0,0,0,1,"Western Africa","Africa",2009,5,5,1,NA,1257,0,1.6094379124341,0,1,0,0,0
"33",33,33,793,"1-100","Nigeria","Government of Nigeria","Government of Chad, Government of Niger","Jama'atu Ahlis Sunna Lidda'awati wal-Jihad","1935","",2,"",2015,2,"475","483, 436","","","475","4",NA,"1.0-2016",1,"Muslim50% Christian 40% The term ""Boko Haram"" comes from the Hausa word boko meaning ""Western or non-Islamic education"" and the Arabic word haram meaning ""sin. This conflict has an religious identity dimension to it, as the government is perceived as Christian-dominated",1,1,1,1,0,NA,"",NA,1,1,1,1,NA,0,NA,0,0,NA,NA,1,"Western Africa","Africa",2009,6,5,1,NA,1258,0,1.79175946922805,0,1,0,0,0
"34",34,34,867,"1-102","Syria","Government of Syria","","Syrian insurgents","4456","",2,"",2011,1,"652","","","","652","2",NA,"1.0-2016",1,"",1,1,1,1,0,NA,"Middle East",NA,1,0,1,0,0,0,0,0,0,0,0,1,"Western Asia","Asia",2011,0,5,1,NA,1352,NA,0,0,0,1,0,0
"35",35,35,867,"1-102","Syria","Government of Syria","","Syrian insurgents","4456","",2,"",2012,2,"652","","","","652","2",NA,"1.0-2016",1,"",1,1,1,1,0,NA,"Middle East",NA,1,0,1,0,0,0,0,0,0,0,0,1,"Western Asia","Asia",2011,1,5,1,NA,1353,0,0,0,0,1,0,0
"36",36,36,867,"1-102","Syria","Government of Syria","","Syrian insurgents","4456","",2,"",2013,2,"652","","","","652","2",NA,"1.0-2016",1,"",1,1,1,1,0,NA,"Middle East",NA,1,0,1,0,0,0,0,0,0,0,0,1,"Western Asia","Asia",2011,2,5,1,NA,1354,0,0.693147180559945,0,0,1,0,0
"37",37,37,867,"1-102","Syria","Government of Syria","","Syrian insurgents","4456","",2,"",2014,2,"652","","","","652","2",NA,"1.0-2016",1,NA,1,1,1,1,0,NA,"Middle East",NA,1,0,1,0,0,0,0,0,0,0,0,1,"Western Asia","Asia",2011,3,5,1,NA,1355,0,1.09861228866811,0,0,1,0,0
"38",38,38,867,"1-102","Syria","Government of Syria","Government of Iran, Government of Russia (Soviet Union)","Syrian insurgents","4456","",2,"",2015,2,"652","630, 365","","","652","2",NA,"1.0-2016",1,"",1,1,1,1,0,NA,"",NA,1,0,1,0,NA,0,NA,0,0,NA,NA,1,"Western Asia","Asia",2011,4,5,1,NA,1356,0,1.38629436111989,0,1,0,0,0
"39",39,39,364,"1-103","Cambodia (Kampuchea)","Government of Cambodia (Kampuchea)","","KR","1112","",2,"",1997,1,"811","","","","811","3",1,"1.0-2016",0,"",0,0,NA,0,0,NA,"East Asia",1,NA,NA,NA,NA,0,1,0,0,1,0,0,1,"South-Eastern Asia","Asia",1967,30,2,0,"weaker",878,NA,3.40119738166216,0,0,1,0,0
"40",40,40,364,"1-103","Cambodia (Kampuchea)","Government of Cambodia (Kampuchea)","","KR","1112","",2,"",1992,1,"811","","","","811","3",1,"1.0-2016",0,"",0,0,NA,0,0,NA,"East Asia",1,NA,NA,NA,NA,0,1,0,0,1,0,0,1,"South-Eastern Asia","Asia",1967,25,1,0,"weaker",879,0,3.2188758248682,0,0,1,0,0
"41",41,41,364,"1-103","Cambodia (Kampuchea)","Government of Cambodia (Kampuchea)","","KR","1112","",2,"",1990,1,"811","","","","811","3",1,"1.0-2016",0,"",0,0,NA,0,1,NA,"East Asia",1,NA,NA,NA,NA,0,1,1,0,1,1,0,1,"South-Eastern Asia","Asia",1967,23,1,0,"weaker",880,0,3.13549421592915,0,0,1,0,1
"42",42,42,364,"1-103","Cambodia (Kampuchea)","Government of Cambodia (Kampuchea)","","KR","1112","",2,"",1998,1,"811","","","","811","3",1,"1.0-2016",0,"",0,0,NA,0,0,NA,"East Asia",1,NA,NA,NA,NA,0,1,0,0,1,0,0,1,"South-Eastern Asia","Asia",1967,31,2,0,"weaker",881,1,3.43398720448515,0,0,1,0,0
"43",43,43,364,"1-103","Cambodia (Kampuchea)","Government of Cambodia (Kampuchea)","","KR","1112","",2,"",1993,1,"811","","","","811","3",1,"1.0-2016",0,"",0,0,NA,0,0,NA,"East Asia",1,NA,NA,NA,NA,0,1,0,0,1,0,0,1,"South-Eastern Asia","Asia",1967,26,1,0,"weaker",882,0,3.25809653802148,0,0,1,0,0
"44",44,44,364,"1-103","Cambodia (Kampuchea)","Government of Cambodia (Kampuchea)","","KR","1112","",2,"",1991,1,"811","","","","811","3",1,"1.0-2016",0,"",0,0,NA,0,1,NA,"East Asia",1,NA,NA,NA,NA,0,1,1,0,1,1,0,1,"South-Eastern Asia","Asia",1967,24,1,0,"weaker",883,0,3.17805383034795,0,0,1,0,1
"45",45,45,364,"1-103","Cambodia (Kampuchea)","Government of Cambodia (Kampuchea)","","KR","1112","",2,"",1995,1,"811","","","","811","3",1,"1.0-2016",0,"",0,0,NA,0,0,NA,"East Asia",1,NA,NA,NA,NA,0,1,0,0,1,0,0,1,"South-Eastern Asia","Asia",1967,28,2,0,"weaker",884,1,3.3322045101752,0,0,1,0,0
"46",46,46,364,"1-103","Cambodia (Kampuchea)","Government of Cambodia (Kampuchea)","Government of Vietnam (North Vietnam)","KR","1112","",2,"",1989,1,"811","816","","","811","3",1,"1.0-2016",0,"",0,0,NA,0,1,NA,"East Asia",1,NA,NA,NA,NA,0,1,1,0,1,1,0,1,"South-Eastern Asia","Asia",1967,22,1,0,"weaker",885,0,3.09104245335832,0,1,0,1,0
"47",47,47,364,"1-103","Cambodia (Kampuchea)","Government of Cambodia (Kampuchea)","","KR","1112","",2,"",1994,1,"811","","","","811","3",1,"1.0-2016",0,"",0,0,NA,0,0,NA,"East Asia",1,NA,NA,NA,NA,0,1,0,0,1,0,0,1,"South-Eastern Asia","Asia",1967,27,1,0,"weaker",886,1,3.29583686600433,0,0,1,0,0
"48",48,48,364,"1-103","Cambodia (Kampuchea)","Government of Cambodia (Kampuchea)","","KR","1112","",2,"",1996,1,"811","","","","811","3",1,"1.0-2016",0,"",0,0,NA,0,0,NA,"East Asia",1,NA,NA,NA,NA,0,1,0,0,1,0,0,1,"South-Eastern Asia","Asia",1967,29,2,0,"weaker",887,0,3.36729582998647,0,0,1,0,0
"49",49,49,378,"1-103","Cambodia (Kampuchea)","Government of Cambodia (Kampuchea)","","KPNLF","1114","",2,"",1990,1,"811","","","","811","3",1,"1.0-2016",0,"",0,0,NA,0,1,NA,"East Asia",1,NA,NA,NA,NA,0,1,1,0,1,1,0,1,"South-Eastern Asia","Asia",1979,11,1,0,"weaker",906,0,2.39789527279837,0,0,1,0,1
"50",50,50,378,"1-103","Cambodia (Kampuchea)","Government of Cambodia (Kampuchea)","Government of Vietnam (North Vietnam)","KPNLF","1114","",2,"",1989,1,"811","816","","","811","3",1,"1.0-2016",0,"",0,0,NA,0,1,NA,"East Asia",1,NA,NA,NA,NA,0,1,1,0,1,1,0,1,"South-Eastern Asia","Asia",1979,10,1,0,"weaker",907,1,2.30258509299405,0,1,0,1,0
"51",51,51,378,"1-103","Cambodia (Kampuchea)","Government of Cambodia (Kampuchea)","","KPNLF","1114","",2,"",1991,1,"811","","","","811","3",1,"1.0-2016",0,"",0,0,NA,0,1,NA,"East Asia",1,NA,NA,NA,NA,0,1,1,0,1,1,0,1,"South-Eastern Asia","Asia",1979,12,1,0,"weaker",908,1,2.484906649788,0,0,1,0,1
"52",52,52,379,"1-103","Cambodia (Kampuchea)","Government of Cambodia (Kampuchea)","","FUNCINPEC","1115","",2,"",1991,1,"811","","","","811","3",1,"1.0-2016",0,"",0,0,NA,0,1,NA,"East Asia",1,NA,NA,NA,NA,0,1,1,0,1,1,0,1,"South-Eastern Asia","Asia",1982,9,1,0,"weaker",909,1,2.19722457733622,0,0,1,0,1
"53",53,53,379,"1-103","Cambodia (Kampuchea)","Government of Cambodia (Kampuchea)","","FUNCINPEC","1115","",2,"",1997,1,"811","","","","811","3",1,"1.0-2016",0,"",0,0,NA,0,0,NA,"East Asia",1,NA,NA,NA,NA,0,1,0,0,1,0,0,1,"South-Eastern Asia","Asia",1982,15,2,0,"weaker",910,1,2.70805020110221,0,0,1,0,0
"54",54,54,379,"1-103","Cambodia (Kampuchea)","Government of Cambodia (Kampuchea)","Government of Vietnam (North Vietnam)","FUNCINPEC","1115","",2,"",1989,1,"811","816","","","811","3",1,"1.0-2016",0,"",0,0,NA,0,1,NA,"East Asia",1,NA,NA,NA,NA,0,1,1,0,1,1,0,1,"South-Eastern Asia","Asia",1982,7,1,0,"weaker",911,0,1.94591014905531,0,1,0,1,0
"55",55,55,57,"1-111","Guinea","Government of Guinea","","RFDG","1309","",2,"",2000,1,"438","","","","438","4",NA,"1.0-2016",0,"",0,0,NA,0,0,NA,"Central America",NA,NA,NA,NA,NA,NA,1,NA,0,1,NA,NA,1,"Western Africa","Africa",2000,0,3,0,NA,190,NA,0,0,0,1,0,0
"56",56,56,57,"1-111","Guinea","Government of Guinea","","RFDG","1309","",2,"",2001,1,"438","","","","438","4",NA,"1.0-2016",0,"",0,0,NA,0,0,NA,"Central America",NA,NA,NA,NA,NA,NA,1,NA,0,1,NA,NA,1,"Western Africa","Africa",2000,1,3,0,NA,191,0,0,0,0,1,0,0
"57",57,57,242,"1-112","Philippines","Government of Philippines","","MILF","1118","",1,"Mindanao",2002,1,"840","","","","840","3",1,"1.0-2016",1,"",1,1,1,1,0,NA,"East Asia",1,3,0,0,1,NA,0,NA,0,0,NA,NA,1,"South-Eastern Asia","Asia",1990,12,3,1,"weaker",419,NA,2.484906649788,0,0,1,0,0
"58",58,58,242,"1-112","Philippines","Government of Philippines","","MILF","1118","",1,"Mindanao",2001,1,"840","","","","840","3",1,"1.0-2016",1,"",1,1,1,1,1,NA,"East Asia",1,3,0,0,1,1,0,0,1,0,0,0,1,"South-Eastern Asia","Asia",1990,11,3,0,"weaker",420,0,2.39789527279837,0,0,1,0,1
"59",59,59,242,"1-112","Philippines","Government of Philippines","","MILF","1118","",1,"Mindanao",2003,1,"840","","","","840","3",1,"1.0-2016",1,"",1,1,1,1,0,NA,"East Asia",1,3,0,0,1,NA,0,NA,0,0,NA,NA,1,"South-Eastern Asia","Asia",1990,13,3,1,"weaker",421,1,2.56494935746154,0,0,1,0,0
"60",60,60,242,"1-112","Philippines","Government of Philippines","","MILF","1118","",1,"Mindanao",2004,1,"840","","","","840","3",1,"1.0-2016",1,"",1,1,1,1,1,NA,"East Asia",1,3,0,0,1,1,0,0,1,0,0,0,1,"South-Eastern Asia","Asia",1990,14,3,1,"weaker",422,0,2.63905732961526,0,0,1,0,1
"61",61,61,242,"1-112","Philippines","Government of Philippines","","MILF","1118","",1,"Mindanao",1996,1,"840","","","","840","3",1,"1.0-2016",1,"",1,1,1,1,0,NA,"East Asia",1,3,0,0,1,NA,0,NA,0,0,NA,NA,1,"South-Eastern Asia","Asia",1990,6,2,0,"weaker",423,1,1.79175946922805,0,0,1,0,0
"62",62,62,242,"1-112","Philippines","Government of Philippines","","MILF","1118","",1,"Mindanao",2000,2,"840","","","","840","3",1,"1.0-2016",1,"",1,1,1,1,0,NA,"East Asia",1,3,0,0,1,NA,0,NA,0,0,NA,NA,1,"South-Eastern Asia","Asia",1990,10,3,0,"weaker",424,0,2.30258509299405,0,0,1,0,0
"63",63,63,242,"1-112","Philippines","Government of Philippines","","MILF","1118","",1,"Mindanao",1997,1,"840","","","","840","3",1,"1.0-2016",1,"",1,1,1,1,0,NA,"East Asia",1,3,0,0,1,NA,0,NA,0,0,NA,NA,1,"South-Eastern Asia","Asia",1990,7,2,0,"weaker",425,0,1.94591014905531,0,0,1,0,0
"64",64,64,242,"1-112","Philippines","Government of Philippines","","MILF","1118","",1,"Mindanao",1990,1,"840","","","","840","3",1,"1.0-2016",1,"",1,1,1,1,0,NA,"East Asia",1,3,0,0,1,NA,0,NA,0,0,NA,NA,1,"South-Eastern Asia","Asia",1990,0,1,0,"weaker",426,0,0,0,0,1,0,0
"65",65,65,242,"1-112","Philippines","Government of Philippines","","MILF","1118","",1,"Mindanao",1994,1,"840","","","","840","3",1,"1.0-2016",1,"",1,1,1,1,1,NA,"East Asia",1,3,0,0,1,1,0,0,1,0,0,0,1,"South-Eastern Asia","Asia",1990,4,1,0,"weaker",427,0,1.38629436111989,0,0,1,0,1
"66",66,66,242,"1-112","Philippines","Government of Philippines","","MILF","1118","",1,"Mindanao",2011,1,"840","","","","840","3",1,"1.0-2016",1,"",1,1,1,1,1,NA,"East Asia",1,3,0,0,1,1,0,0,1,0,0,0,1,"South-Eastern Asia","Asia",1990,21,5,1,"weaker",428,1,3.04452243772342,0,0,1,0,1
"67",67,67,242,"1-112","Philippines","Government of Philippines","","MILF","1118","",1,"Mindanao",1998,1,"840","","","","840","3",1,"1.0-2016",1,"",1,1,1,1,0,NA,"East Asia",1,3,0,0,1,NA,0,NA,0,0,NA,NA,1,"South-Eastern Asia","Asia",1990,8,2,0,"weaker",429,1,2.07944154167984,0,0,1,0,0
"68",68,68,242,"1-112","Philippines","Government of Philippines","","MILF","1118","",1,"Mindanao",2005,1,"840","","","","840","3",1,"1.0-2016",1,"",1,1,1,1,1,NA,"East Asia",1,3,0,0,1,1,0,0,1,0,0,0,1,"South-Eastern Asia","Asia",1990,15,4,1,"weaker",430,0,2.70805020110221,0,0,1,0,1
"69",69,69,242,"1-112","Philippines","Government of Philippines","","MILF","1118","",1,"Mindanao",2007,1,"840","","","","840","3",1,"1.0-2016",1,"",1,1,1,1,1,NA,"East Asia",1,3,0,0,1,1,0,0,1,0,0,0,1,"South-Eastern Asia","Asia",1990,17,4,1,"weaker",431,1,2.83321334405622,0,0,1,0,1
"70",70,70,242,"1-112","Philippines","Government of Philippines","","MILF","1118","",1,"Mindanao",2009,1,"840","","","","840","3",1,"1.0-2016",1,"",1,1,1,1,1,NA,"East Asia",1,3,0,0,1,1,0,0,1,0,0,0,1,"South-Eastern Asia","Asia",1990,19,4,1,"weaker",432,1,2.94443897916644,0,0,1,0,1
"71",71,71,242,"1-112","Philippines","Government of Philippines","","MILF","1118","",1,"Mindanao",1999,1,"840","","","","840","3",1,"1.0-2016",1,"",1,1,1,1,0,NA,"East Asia",1,3,0,0,1,NA,0,NA,0,0,NA,NA,1,"South-Eastern Asia","Asia",1990,9,2,0,"weaker",433,1,2.19722457733622,0,0,1,0,0
